"CROP_NAME","ZIP_CODE","STATE_NAME","MIN_HARVEST_AREA","MAX_HARVEST_AREA"
"HAY & HAYLAGE","1001","MASSACHUSETTS","50","249"
"TOBACCO","1002","MASSACHUSETTS","5","10"
"CORN","1002","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1002","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1003","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1004","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1005","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1007","MASSACHUSETTS","1","50"
"CORN","1007","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1008","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1010","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1011","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1012","MASSACHUSETTS","1","50"
"WHEAT","1012","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1020","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1026","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1027","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1029","MASSACHUSETTS","1","50"
"TOBACCO","1030","MASSACHUSETTS","5","10"
"HAY & HAYLAGE","1030","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1031","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1032","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1033","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1034","MASSACHUSETTS","250","250"
"TOBACCO","1035","MASSACHUSETTS","5","10"
"HAY & HAYLAGE","1035","MASSACHUSETTS","1","50"
"CORN","1035","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1036","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1037","MASSACHUSETTS","50","249"
"TOBACCO","1038","MASSACHUSETTS","10","10"
"HAY & HAYLAGE","1038","MASSACHUSETTS","1","50"
"CORN","1038","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1039","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1040","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1050","MASSACHUSETTS","50","249"
"CORN","1053","MASSACHUSETTS","1","50"
"SOYBEANS","1053","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1053","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1054","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1056","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1057","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1060","MASSACHUSETTS","1","50"
"CORN","1060","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1062","MASSACHUSETTS","1","50"
"TOBACCO","1066","MASSACHUSETTS","5","10"
"HAY & HAYLAGE","1066","MASSACHUSETTS","1","50"
"CORN","1066","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1068","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1069","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1070","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1073","MASSACHUSETTS","50","249"
"CORN","1073","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1075","MASSACHUSETTS","1","50"
"TOBACCO","1077","MASSACHUSETTS","5","10"
"HAY & HAYLAGE","1077","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1081","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1082","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1083","MASSACHUSETTS","1","50"
"CORN","1084","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1084","MASSACHUSETTS","1","50"
"TOBACCO","1085","MASSACHUSETTS","5","10"
"HAY & HAYLAGE","1085","MASSACHUSETTS","1","50"
"CORN","1085","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1086","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1089","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1092","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1093","MASSACHUSETTS","1","50"
"TOBACCO","1093","MASSACHUSETTS","10","10"
"HAY & HAYLAGE","1094","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1095","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1096","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1098","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1201","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1202","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1220","MASSACHUSETTS","250","250"
"HAY & HAYLAGE","1222","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1223","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1224","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1225","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1226","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1230","MASSACHUSETTS","1","50"
"WHEAT","1230","MASSACHUSETTS","1","50"
"CORN","1230","MASSACHUSETTS","250","250"
"HAY & HAYLAGE","1235","MASSACHUSETTS","50","249"
"CORN","1237","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1237","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1238","MASSACHUSETTS","1","50"
